Dia do Mes,Dia da Semana,Feriado / FDS,Hora,Chuva,Valor Cartela,Premiacao,Resultado
2,2,0,12.25,0,0.5,150,-24.9
2,2,0,12.5,0,0.25,125,-1.7
2,2,0,12.75,0,0.5,150,37.2
2,2,0,13,0,1,300,60
2,2,0,13.25,0,0.25,140,48.88
2,2,0,13.5,0,0.5,160,33.05
2,2,0,13.75,0,0.25,140,48.1
2,2,0,14,0,1,250,-19.5
2,2,0,14.25,0,0.5,170,5.5
2,2,0,14.5,0,0.25,145,7.55
2,2,0,14.75,0,0.5,170,29.35
2,2,0,15,0,1,250,-103.3
2,2,0,15.33333333,0,0.25,150,87.38
2,2,0,15.66666667,0,0.1,140,108.86
2,2,0,16,0,0.5,180,133.4
2,2,0,16.33333333,0,0.25,160,121.65
2,2,0,16.66666667,0,0.5,180,61.4
2,2,0,17,0,1,300,72.6
2,2,0,17.25,0,0.1,150,14.43
2,2,0,17.5,0,0.2,160,61.94
2,2,0,17.75,0,0.5,240,62.05
2,2,0,18,0,2,700,49
2,2,0,18.25,0,0.5,300,59.3
2,2,0,18.5,0,1,380,-91.8
2,2,0,18.75,0,0.5,300,-73.95
2,2,0,19,0,2,600,-218.2
2,2,0,19.25,0,0.5,250,-16.05
2,2,0,19.5,0,1,380,-60.3
2,2,0,19.75,0,0.5,250,-26.95
2,2,0,20,0,2,600,-182
2,2,0,20.25,0,0.5,240,16.85
2,2,0,20.5,0,1,360,-91.8
2,2,0,20.75,0,0.25,180,-46.03
2,2,0,21,0,0.5,250,-127.85
2,2,0,21.25,0,0.25,180,-57.63
2,2,0,21.5,0,0.5,240,-93.2
2,2,0,21.75,0,0.25,180,-56.73
3,3,0,12.25,1,0.5,150,207.8
3,3,0,12.5,1,0.25,125,146.35
3,3,0,12.75,1,0.5,150,16.05
3,3,0,13,1,1,300,-43.5
3,3,0,13.25,1,0.25,140,119.65
3,3,0,13.5,1,0.5,160,24.95
3,3,0,13.75,1,0.25,140,15.03
3,3,0,14,1,1,250,-47.5
3,3,0,14.25,1,0.5,170,98.65
3,3,0,14.5,1,0.25,145,192.28
3,3,0,14.75,1,0.5,170.01,-21.51
3,3,0,15,1,1,250,46.1
3,3,0,15.33333333,1,0.25,150,169.05
3,3,0,15.66666667,1,0.1,140,181.8
3,3,0,16,1,0.5,180,81.45
3,3,0,16.33333333,1,0.25,1547.55,-1217.53
3,3,0,16.66666667,1,0.5,180,30.6
3,3,0,17,1,1,300,98.5
3,3,0,17.25,1,0.1,150,147.28
3,3,0,17.5,1,0.2,160,38.18
3,3,0,17.75,1,0.5,240.01,85.89
3,3,0,18,1,2,700,22
3,3,0,18.25,1,0.5,300,74.4
3,3,0,18.5,1,1,380,162.7
3,3,0,18.75,1,0.5,300,253.5
3,3,0,19,1,2,600,-94.2
3,3,0,19.25,1,0.5,250,130.7
3,3,0,19.5,1,1,380,-39.6
3,3,0,19.75,1,0.5,250,245.1
3,3,0,20,1,2,600,-106.4
3,3,0,20.25,1,0.5,240,-4.55
3,3,0,20.5,1,1,360,-110.6
3,3,0,20.75,1,0.25,180,97.3
3,3,0,21,1,0.5,250,-74.5
3,3,0,21.25,1,0.25,180,18.55
3,3,0,21.5,1,0.5,240,23.7
3,3,0,21.75,1,0.25,180,24.08
4,4,0,12.25,1,0.5,150,7.95
4,4,0,12.5,1,0.25,125,53.65
4,4,0,12.75,1,0.5,150,20.1
4,4,0,13,1,1,300,-52.5
4,4,0,13.25,1,0.25,140,39.33
4,4,0,13.5,1,0.5,160,-35.35
4,4,0,13.75,1,0.25,140,0.63
4,4,0,14,1,0.25,125,3.48
4,4,0,14.25,1,0.5,160,137
4,4,0,14.5,1,0.25,145,-3.93
4,4,0,14.75,1,0.5,170,210.7
4,4,0,15,1,0.5,150,-44.25
4,4,0,15.33333333,1,0.25,150,-14.1
4,4,0,15.66666667,1,0.1,140,31.36
4,4,0,16,1,0.5,180,4.95
4,4,0,16.33333333,1,0.25,160,-4.98
4,4,0,16.66666667,1,0.5,180,39.15
4,4,0,17,1,1,300,-8.3
4,4,0,17.25,1,0.1,150,29.63
4,4,0,17.5,1,0.2,160,37.26
4,4,0,17.75,1,0.5,240,78.65
4,4,0,18,1,2,700,216.4
4,4,0,18.25,1,0.5,300,117.65
4,4,0,18.5,1,1,380,22.4
4,4,0,18.75,1,0.5,300,47.4
4,4,0,19,1,2,600,93.2
4,4,0,19.25,1,0.5,300,17.3
4,4,0,19.5,1,1,380,38.5
4,4,0,19.75,1,0.5,300,15.3
4,4,0,20,1,2,600,-52.8
4,4,0,20.25,1,0.5,240,-17
4,4,0,20.5,1,1,360,-108.7
4,4,0,20.75,1,0.25,180,24.63
4,4,0,21,1,0.5,250,-107.3
4,4,0,21.25,1,0.25,180,25.53
4,4,0,21.5,1,0.5,240,-60.25
4,4,0,21.75,1,0.25,180,-63.03
5,5,1,12.25,1,0.5,160,-42.55
5,5,1,12.5,1,0.25,150,-4.65
5,5,1,12.75,1,0.5,160,-34.45
5,5,1,13,1,1,300,-79.5
5,5,1,13.25,1,0.25,155,36.03
5,5,1,13.5,1,0.5,165,-48.45
5,5,1,13.75,1,0.25,155,-37.3
5,5,0,14,1,0.1,145,4.67
5,5,0,14.25,1,0.5,170,-52.1
5,5,0,14.5,1,0.25,160.01,-23.89
5,5,0,14.75,1,0.5,170,-5.75
5,5,0,15,1,0.2,155,-39.06
5,5,0,15.33333333,1,0.25,165,76.43
5,5,0,15.66666667,1,0.1,150.01,21.08
5,5,0,16,1,0.5,190,31.4
5,5,0,16.33333333,1,0.25,170,-19
5,5,0,16.66666667,1,0.2,195,12.74
5,5,0,17,1,0.5,550,298.4
5,5,0,17.25,1,0.1,159.98,51.36
5,5,0,17.5,1,0.2,175,41.2
5,5,0,17.75,1,0.5,240,97.6
5,5,0,18,1,1,1100,113.9
5,5,0,18.25,1,0.5,300,109.55
5,5,0,18.5,1,1,380,-36.9
5,5,0,18.75,1,0.5,300,147.55
5,5,0,19,1,1,1100,205.4
5,5,0,19.25,1,0.5,300,150.6
5,5,0,19.5,1,1,380,-34.3
5,5,0,19.75,1,0.5,300,40.4
5,5,0,20,1,0.2,1100,131.84
5,5,0,20.25,1,0.5,240,52.9
5,5,0,20.5,1,1,360,-83.5
5,5,0,20.75,1,0.25,190,58.93
5,5,0,21,1,0.5,250,-5.2
5,5,0,21.25,1,0.25,190,0.55
5,5,0,21.5,1,0.5,240,-2.65
5,5,0,21.75,1,0.25,170,-26.28
6,6,0,12.25,0,0.5,160,-82.6
6,6,0,12.5,0,0.25,150,-59.78
6,6,0,12.75,0,0.5,160,-76.75
6,6,0,13,0,1,300,-83
6,6,0,13.25,0,0.25,155,-58.03
6,6,0,13.5,0,0.5,165.01,-87.61
6,6,0,13.75,0,0.25,155,-50.15
6,6,0,14,0,0.1,145,26.18
6,6,0,14.25,0,0.5,170,-19.65
6,6,0,14.5,0,0.25,160.01,21.12
6,6,0,14.75,0,0.5,170,-3.45
6,6,0,15,0,0.2,155,-44
6,6,0,15.33333333,0,0.25,165,1.83
6,6,0,15.66666667,0,0.1,150,52.17
6,6,0,16,0,0.5,190,47.4
6,6,0,16.33333333,0,0.25,170,39.15
6,6,0,16.66666667,0,0.2,194.99,67.81
6,6,0,17,0,0.5,550,-44
6,6,0,17.25,0,0.1,160,36.66
6,6,0,17.5,0,0.2,175,-8.1
6,6,0,17.75,0,0.5,240,8.4
6,6,0,18,0,1,1100,-254.7
6,6,0,18.25,0,0.5,300,166.9
6,6,0,18.5,0,1,380,54.1
6,6,0,18.75,0,0.5,300,148.35
6,6,0,19,0,1,1100,-318.5
6,6,0,19.25,0,0.5,300,25.95
6,6,0,19.5,0,1,380,-20.7
6,6,0,19.75,0,0.5,300,-28.1
6,6,0,20,0,0.2,1100,190.92
6,6,0,20.41666667,0,1.420098847,7000,-3113
6,6,0,20.75,0,0.25,550,199.03
6,6,0,21,0,0.5,250,76.35
6,6,0,21.33333333,0,0.25,190,3.33
6,6,0,21.66666667,0,0.5,240,0.25
7,7,1,12.25,1,0.5,160,0.65
7,7,1,12.5,1,0.25,150,59.25
7,7,1,12.75,1,0.5,160,21.85
7,7,1,13,1,1,300,-31.7
7,7,1,13.25,1,0.25,155,34.8
7,7,1,13.5,1,0.5,165,-16.25
7,7,1,13.75,1,0.25,155,100.73
7,7,1,14,1,0.1,145,61.04
7,7,1,14.25,1,0.5,170,55.15
7,7,1,14.5,1,0.25,160,59.85
7,7,1,14.75,1,0.5,170,13.65
7,7,1,15,1,0.2,155,-33.92
7,7,1,15.33333333,1,0.25,165,33.63
7,7,1,15.66666667,1,0.1,150,40.76
7,7,1,16,1,0.5,190,69.45
7,7,1,16.33333333,1,0.25,170.01,80.67
7,7,1,16.66666667,1,0.2,195,91.22
7,7,1,17,1,0.5,550.01,103.79
7,7,1,17.25,1,0.1,160,36.52
7,7,1,17.5,1,0.2,175,54.24
7,7,1,17.75,1,0.5,240,-26.7
7,7,1,18,1,1,600,-202.8
7,7,1,18.25,1,0.5,300,-30.8
7,7,1,18.5,1,1,380,-102.7
7,7,1,18.75,1,0.5,300,-21.65
7,7,1,19,1,1,1100,-210.8
7,7,1,19.25,1,0.5,300,-10.85
7,7,1,19.5,1,1,380,-138.8
7,7,1,19.75,1,0.5,300,-114.6
7,7,1,20,1,0.2,1100,-420.48
7,7,1,20.25,1,0.5,240,-122.9
7,7,1,20.5,1,1,360,-221.2
7,7,1,20.75,1,0.25,180,-52.88
7,7,1,21,1,0.5,250,-8.9
7,7,1,21.25,1,0.25,180,-38.4
7,7,1,21.5,1,0.5,240,-32
7,7,1,21.75,1,0.25,180,-49.25
9,2,0,12.25,1,0.5,150,-40.65
9,2,0,12.5,1,0.25,125,-41.75
9,2,0,12.75,1,0.5,150,-36.6
9,2,0,13,1,1,300,-103.7
9,2,0,13.25,1,0.25,140,-33.1
9,2,0,13.5,1,0.5,160,-6.55
9,2,0,13.75,1,0.25,140,11.9
9,2,0,14,1,1,250,78.6
9,2,0,14.25,1,0.5,170,52.75
9,2,0,14.5,1,0.25,145,4.18
9,2,0,14.75,1,0.5,170,22.6
9,2,0,15,1,1,250,-16.9
9,2,0,15.33333333,1,0.25,150,37.2
9,2,0,15.66666667,1,0.1,140,2.65
9,2,0,16,1,0.5,180,131.4
9,2,0,16.33333333,1,0.25,160,93.35
9,2,0,16.66666667,1,0.5,180,173.25
9,2,0,17,1,1,300,15.9
9,2,0,17.25,1,0.1,150,19.65
9,2,0,17.5,1,0.2,160,47.36
9,2,0,17.75,1,0.5,240.01,38.09
9,2,0,18,1,2,700,146.2
9,2,0,18.25,1,0.5,300,137.45
9,2,0,18.5,1,1,380,80
9,2,0,18.75,1,0.5,300,68.15
9,2,0,19,1,2,600,-47.2
9,2,0,19.25,1,0.5,250.01,-6.51
9,2,0,19.5,1,1,380,-111.7
9,2,0,19.75,1,0.5,250,33.05
9,2,0,20,1,2,600,-33
9,2,0,20.25,1,0.5,240,35.4
9,2,0,20.5,1,1,360,-75.6
9,2,0,20.75,1,0.25,180,-63.23
9,2,0,21,1,0.5,250,-73.15
9,2,0,21.25,1,0.25,180,-60.75
9,2,0,21.5,1,0.5,240,-44.25
9,2,0,21.75,1,0.25,180,-66.38
10,3,0,12.25,0,0.5,150,-48.3
10,3,0,12.5,0,0.25,125,37.55
10,3,0,12.75,0,0.5,150,-16.25
10,3,0,13,0,1,300,-75.7
10,3,0,13.25,0,0.25,140,-36.03
10,3,0,13.5,0,0.5,160,-57.25
10,3,0,13.75,0,0.25,140,-29.18
10,3,0,14,0,1,250,-70.6
10,3,0,14.25,0,0.5,170,-64.55
10,3,0,14.5,0,0.25,145,73.05
10,3,0,14.75,0,0.5,170,27.75
10,3,0,15,0,1,250,-77.8
10,3,0,15.33333333,0,0.25,150,-11.78
10,3,0,15.66666667,0,0.1,140,19.41
10,3,0,16,0,0.5,180,-14.7
10,3,0,16.33333333,0,0.25,160,25.88
10,3,0,16.66666667,0,0.5,180,12.15
10,3,0,17,0,1,300,-38.1
10,3,0,17.25,0,0.1,150,33.51
10,3,0,17.5,0,0.2,160,78.7
10,3,0,17.75,0,0.5,240,182.6
10,3,0,18,0,2,700,85
10,3,0,18.25,0,0.5,300,79.8
10,3,0,18.5,0,1,380,43.1
10,3,0,18.75,0,0.5,300,123.6
10,3,0,19,0,2,600.01,174.19
10,3,0,19.25,0,0.5,250,47.2
10,3,0,19.5,0,1,380,-115.3
10,3,0,19.75,0,0.5,250,-59.5
10,3,0,20,0,2,600,-138.8
10,3,0,20.25,0,0.5,240,-9
10,3,0,20.5,0,1,360,104.8
10,3,0,20.75,0,0.25,180,118.48
10,3,0,21,0,0.5,250.01,121.59
10,3,0,21.25,0,0.25,180,83.55
10,3,0,21.5,0,0.5,240,18.95
10,3,0,21.75,0,0.25,180,22.23
11,4,0,12.25,0,0.5,150,53.85
11,4,0,12.5,0,0.25,125,97.1
11,4,0,12.75,0,0.5,150,83.1
11,4,0,13,0,1,300,123
11,4,0,13.25,0,0.25,140,136.75
11,4,0,13.5,0,0.5,160,58.25
11,4,0,13.75,0,0.25,140,145.98
11,4,0,14,0,0.25,125,94.83
11,4,0,14.25,0,0.5,160,77.2
11,4,0,14.5,0,0.25,145,81.35
11,4,0,14.75,0,0.5,170,3.25
11,4,0,15,0,0.5,150,19.2
11,4,0,15.33333333,0,0.25,150,85.13
11,4,0,15.66666667,0,0.1,140,50.62
11,4,0,16,0,0.5,180,108.6
11,4,0,16.33333333,0,0.25,160,44.45
11,4,0,16.66666667,0,0.5,180,94.3
11,4,0,17,0,1,300,95.9
11,4,0,17.25,0,0.1,150,36.26
11,4,0,17.5,0,0.2,160,62.6
11,4,0,17.75,0,0.5,240,98.75
11,4,0,18,0,2,700,123.6
11,4,0,18.25,0,0.5,300,185.1
11,4,0,18.5,0,1,380,169.2
11,4,0,18.75,0,0.5,300,118.55
11,4,0,19,0,2,600,-28.6
11,4,0,19.25,0,0.5,300,75.05
11,4,0,19.5,0,1,380,4.6
11,4,0,19.75,0,0.5,300,-9.1
11,4,0,20,0,2,600,106
11,4,0,20.41666667,0,0.514157793,3000,-130.83
11,4,0,20.75,0,0.25,180,201.65
11,4,0,21,0,0.5,250,85.7
11,4,0,21.25,0,0.25,180,95.6
11,4,0,21.5,0,0.5,240,41
11,4,0,21.75,0,0.25,180,23.28
12,5,0,21.75,1,0.05,100,-76.15
13,6,1,12.25,1,0.5,150,-22.1
13,6,1,12.5,1,0.25,125,12.25
13,6,1,12.75,1,0.5,150,40.4
13,6,1,13,1,1,300,77.2
13,6,1,13.25,1,0.25,140,181.98
13,6,1,13.5,1,0.5,160,83.9
13,6,1,13.75,1,0.25,140,123.28
13,6,1,14,1,1,250,21.9
13,6,1,14.25,1,0.5,170,65.35
13,6,1,14.5,1,0.25,145,75.95
13,6,0,14.75,1,0.5,170,69.4
13,6,0,15,1,1,250,54.3
13,6,0,15.33333333,1,0.25,150,105.38
13,6,0,15.66666667,1,0.1,140,151.06
13,6,0,16,1,0.5,180,106.8
13,6,0,16.33333333,1,0.25,160,82.05
13,6,0,16.66666667,1,0.5,180,133.45
13,6,0,17,1,1,300,181.2
13,6,0,17.25,1,0.1,150,175.32
13,6,0,17.5,1,0.2,160,160.54
13,6,0,17.75,1,0.5,240,165.95
13,6,0,18,1,2,700,184.2
13,6,0,18.25,1,0.5,300,202.55
13,6,0,18.5,1,1,380,224.3
13,6,0,18.75,1,0.5,300,141.05
13,6,0,19,1,2,600,138.6
13,6,0,19.25,1,0.5,250,39.7
13,6,0,19.5,1,1,380,16.3
13,6,0,19.75,1,0.5,250,138.05
13,6,0,20,1,2,600,-85.4
13,6,0,20.41666667,1,0.486011155,3000,-566.58
13,6,0,20.75,1,0.25,550,123.58
13,6,0,21,1,0.5,250,52.6
13,6,0,21.33333333,1,0.25,190,21.35
13,6,0,21.66666667,1,0.5,240,-63.15
14,7,1,12.25,0,0.5,160,22.95
14,7,1,12.5,0,0.25,150,43.38
14,7,1,12.75,0,0.5,160,60.6
14,7,1,13,0,1,300,89
14,7,1,13.25,0,0.25,155,125.23
14,7,1,13.5,0,0.5,165,70.95
14,7,1,13.75,0,0.25,155,172.48
14,7,1,14,0,0.1,145.01,160.57
14,7,1,14.25,0,0.5,170,185.6
14,7,1,14.5,0,0.25,160,132.08
14,7,1,14.75,0,0.5,170,161.45
14,7,1,15,0,0.2,155,190.82
14,7,1,15.33333333,0,0.25,165,209
14,7,1,15.66666667,0,0.1,150,256.72
14,7,1,16,0,0.5,190,122.2
14,7,1,16.33333333,0,0.25,170,110.38
14,7,1,16.66666667,0,0.2,195,77.38
14,7,1,17,0,0.5,550,217.55
14,7,1,17.25,0,0.1,160,21.6
14,7,1,17.5,0,0.2,175,-13.3
14,7,1,17.75,0,0.5,240,-40.75
14,7,1,18,0,1,600,-117.8
14,7,1,18.25,0,0.5,300,-80.65
14,7,1,18.5,0,1,380,-127.7
14,7,1,18.75,0,0.5,300,-77.15
14,7,1,19,0,1,1100,-173.1
14,7,1,19.25,0,0.5,300,19.1
14,7,1,19.5,0,1,380,-132.9
14,7,1,19.75,0,0.5,300,-64.85
14,7,1,20,0,0.2,2594.57,-1961.57
14,7,1,20.25,0,0.5,240,-44.7
14,7,1,20.5,0,1,360,-114
14,7,1,20.75,0,0.25,180,-19.93
14,7,1,21,0,0.5,250,12.95
14,7,1,21.25,0,0.25,180,-61.88
14,7,1,21.5,0,0.5,240,-47.8
14,7,1,21.75,0,0.25,180,-42.08
16,2,0,12.25,0,0.5,150,-5.1
16,2,0,12.5,0,0.25,125,47.58
16,2,0,12.75,0,0.5,150,-1.45
16,2,0,13,0,1,300,-108.2
16,2,0,13.25,0,0.25,140,8.28
16,2,0,13.5,0,0.5,160,-27.7
16,2,0,13.75,0,0.25,140,36.18
16,2,0,14,0,1,250,-123.1
16,2,0,14.25,0,0.5,170,-66
16,2,0,14.5,0,0.25,145,44.48
16,2,0,14.75,0,0.5,170,-18.8
16,2,0,15,0,1,250,-124
16,2,0,15.33333333,0,0.25,150,65.78
16,2,0,15.66666667,0,0.1,140,1.66
16,2,0,16,0,0.5,180,-9.4
16,2,0,16.33333333,0,0.25,160,-12.6
16,2,0,16.66666667,0,0.5,180,44.6
16,2,0,17,0,1,300,-9.2
16,2,0,17.25,0,0.1,150,-32.37
16,2,0,17.5,0,0.2,160,21.62
16,2,0,17.75,0,0.5,240,133.95
16,2,0,18,0,2,700,39.8
16,2,0,18.25,0,0.5,300,123.1
16,2,0,18.5,0,1,380,107
16,2,0,18.75,0,0.5,300,130.3
16,2,0,19,0,2,600,226.2
16,2,0,19.25,0,0.5,250,112.4
16,2,0,19.5,0,1,380,-52.1
16,2,0,19.75,0,0.5,250,38.95
16,2,0,20,0,2,600,-345.6
16,2,0,20.25,0,0.5,240,12.05
16,2,0,20.5,0,1,360,-97.7
16,2,0,20.75,0,0.25,180,61.75
16,2,0,21,0,0.5,250.01,-42.81
16,2,0,21.25,0,0.25,180,-47.83
16,2,0,21.5,0,0.5,240,-13.8
16,2,0,21.75,0,0.25,180,-45.83
17,3,0,12.25,1,0.5,150,7.05
17,3,0,12.5,1,0.25,124.99,74.81
17,3,0,12.75,1,0.5,150,77.25
17,3,0,13,1,1,300,-64.2
17,3,0,13.25,1,0.25,140,77.58
17,3,0,13.5,1,0.5,160,42.6
17,3,0,13.75,1,0.25,140,39.78
17,3,0,14,1,1,250,-42.9
17,3,0,14.25,1,0.5,170,-57.85
17,3,0,14.5,1,0.25,145,51.88
17,3,0,14.75,1,0.5,170,-44.35
17,3,0,15,1,1,250,-58.2
17,3,0,15.33333333,1,0.25,150,42.25
17,3,0,15.66666667,1,0.1,140,75.64
17,3,0,16,1,0.5,180,86.4
17,3,0,16.33333333,1,0.25,160,104.03
17,3,0,16.66666667,1,0.5,180,58.4
17,3,0,17,1,1,300,-107.1
17,3,0,17.25,1,0.1,150,84.89
17,3,0,17.5,1,0.2,160,42.64
17,3,0,17.75,1,0.5,240,32.6
17,3,0,18,1,2,700,65.8
17,3,0,18.25,1,0.5,300,12.8
17,3,0,18.5,1,1,380,-11.5
17,3,0,18.75,1,0.5,300,45.6
17,3,0,19,1,2,600,162
17,3,0,19.25,1,0.5,250,9.5
17,3,0,19.5,1,1,380,28.6
17,3,0,19.75,1,0.5,250,-42.15
17,3,0,20,1,2,600,-278.6
17,3,0,20.25,1,0.5,240,-22.65
17,3,0,20.5,1,1,360,-143.2
17,3,0,20.75,1,0.25,180,17.68
17,3,0,21,1,0.5,250,-36.25
17,3,0,21.25,1,0.25,180,-10.5
17,3,0,21.5,1,0.5,240,-30.25
17,3,0,21.75,1,0.25,180,36.78
18,4,1,12.25,1,0.5,150,-34.35
18,4,1,12.5,1,0.25,125,-40.85
18,4,1,12.75,1,0.5,150,-4.15
18,4,1,13,1,1,300,-86.6
18,4,0,13.25,1,0.25,140,27.98
18,4,0,13.5,1,0.5,160,38.95
18,4,0,13.75,1,0.25,140,8.2
18,4,0,14,1,0.25,125,47.7
18,4,0,14.25,1,0.5,160,6.95
18,4,0,14.5,1,0.25,145,105.78
18,4,0,14.75,1,0.5,170,45.15
18,4,0,15,1,0.5,150,-1.5
18,4,0,15.33333333,1,0.25,150,-0.13
18,4,0,15.66666667,1,0.1,140,-28.85
18,4,0,16,1,0.5,180,-47.65
18,4,0,16.33333333,1,0.25,160,25.18
18,4,0,16.66666667,1,0.5,180,25.8
18,4,0,17,1,1,300,-28.9
18,4,0,17.25,1,0.1,150,34.19
18,4,0,17.5,1,0.2,160,52.78
18,4,0,17.75,1,0.5,240,59
18,4,0,18,1,2,700,29.6
18,4,0,18.25,1,0.5,300,149.5
18,4,0,18.5,1,1,380,95.8
18,4,0,18.75,1,0.5,300,180.95
18,4,0,19,1,2,600,27.6
18,4,0,19.25,1,0.5,300,113.85
18,4,0,19.5,1,1,380,-97.7
18,4,0,19.75,1,0.5,300,98.35
18,4,0,20,1,2,600,9.4
18,4,0,20.41666667,1,1,3000,-1884.9
18,4,0,20.75,1,0.25,180,94.65
18,4,0,21,1,0.5,250,32.7
18,4,0,21.25,1,0.25,180,46.35
18,4,0,21.5,1,0.5,240,105.55
18,4,0,21.75,1,0.25,180,1.88
19,5,0,12.25,0,0.5,160,-81.7
19,5,0,12.5,0,0.25,150,-25.13
19,5,0,12.75,0,0.5,160,-93.4
19,5,0,13,0,1,300,-110.1
19,5,0,13.25,0,0.25,155,-13.7
19,5,0,13.5,0,0.5,165,-26.85
19,5,0,13.75,0,0.25,155,7.9
19,5,0,14,0,0.1,145,-31.87
19,5,0,14.25,0,0.5,170,11.35
19,5,0,14.5,0,0.25,160,114.5
19,5,0,14.75,0,0.5,170,4.15
19,5,0,15,0,0.2,155,32.56
19,5,0,15.33333333,0,0.25,165,70.25
19,5,0,15.66666667,0,0.1,150,62.77
19,5,0,16,0,0.5,190,58.5
19,5,0,16.33333333,0,0.25,170,11.25
19,5,0,16.66666667,0,0.2,195,82.76
19,5,0,17,0,0.5,550,9.8
19,5,0,17.25,0,0.1,160,39.14
